Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,054,381",-,-,"$822,054,381",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,F9: The Fast Saga,"$624,455,615","$165,894,615",26.6%,"$458,561,000",73.4%
4,Godzilla vs. Kong,"$465,763,133","$100,563,133",21.6%,"$365,200,000",78.4%
5,Black Widow,"$320,740,862","$160,640,862",50.1%,"$160,100,000",49.9%
6,A Quiet Place Part II,"$291,170,530","$158,170,530",54.3%,"$133,000,000",45.7%
7,Cruella,"$221,146,386","$85,046,386",38.5%,"$136,100,000",61.5%
8,The Conjuring: The Devil Made Me Do It,"$194,213,981","$64,813,981",33.4%,"$129,400,000",66.6%
9,Space Jam: A New Legacy,"$187,315,094","$44,857,605",23.9%,"$142,457,489",76.1%
10,Impasse,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
11,Chinese Doctors,"$176,600,000",-,-,"$176,600,000",100%
12,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
13,Peter Rabbit 2: The Runaway,"$148,890,829","$40,190,829",27%,"$108,700,000",73%
14,Sister,"$128,292,175",-,-,"$128,292,175",100%
15,Tom and Jerry,"$126,541,123","$46,041,123",36.4%,"$80,500,000",63.6%
16,Raya and the Last Dragon,"$122,530,990","$54,664,601",44.6%,"$67,866,389",55.4%
17,My Love,"$113,717,293","$86,252",<0.1%,"$113,631,041",99.9%
18,Wrath of Man,"$100,466,489","$27,466,489",27.3%,"$73,000,000",72.7%
19,Detective Conan: The Scarlet Bullet,"$95,659,979",-,-,"$95,659,979",100%
20,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
21,End Game,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
22,Mortal Kombat,"$83,601,013","$42,201,013",50.5%,"$41,400,000",49.5%
23,Boonie Bears: The Wild Life,"$77,754,951",-,-,"$77,754,951",100%
24,1921,"$75,159,828",-,-,"$75,159,828",100%
25,The Hitman's Wife's Bodyguard,"$65,921,774","$37,585,006",57%,"$28,336,768",43%
26,The Boss Baby: Family Business,"$63,067,240","$52,167,240",82.7%,"$10,900,000",17.3%
27,The Forever Purge,"$60,242,449","$41,579,315",69%,"$18,663,134",31%
28,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
29,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
30,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
31,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
32,Man in Love,"$52,483,498",-,-,"$52,483,498",100%
33,Love Will Tear Us Apart,"$44,972,521",-,-,"$44,972,521",100%
34,In the Heights,"$41,615,437","$29,515,437",70.9%,"$12,100,000",29.1%
35,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
36,Spiral,"$37,689,313","$23,216,862",61.6%,"$14,472,451",38.4%
37,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
38,I Fell in Love Like A Flower Bouquet,"$34,935,458",-,-,"$34,935,458",100%
39,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
40,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
41,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
42,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
43,Old,"$30,586,255","$23,853,255",78%,"$6,733,000",22%
44,Spirit Untamed,"$30,098,585","$17,598,585",58.5%,"$12,500,000",41.5%
45,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
46,White Snake 2: Green Snake,"$29,700,000",-,-,"$29,700,000",100%
47,Master,"$28,692,230",-,-,"$28,692,230",100%
48,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
49,Nomadland,"$26,746,143","$2,143,000",8%,"$24,603,143",92%
50,Escape Room: Tournament of Champions,"$26,351,732","$18,351,732",69.6%,"$8,000,000",30.4%
51,Chaos Walking,"$24,942,613","$13,287,908",53.3%,"$11,654,705",46.7%
52,Those Who Wish Me Dead,"$23,386,180","$7,347,103",31.4%,"$16,039,077",68.6%
53,The Marksman,"$22,686,080","$15,566,093",68.6%,"$7,119,987",31.4%
54,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
55,Snake Eyes,"$22,282,544","$18,282,544",82%,"$4,000,000",18%
56,Belle: The Dragon and the Freckled Princess,"$22,048,050",-,-,"$22,048,050",100%
57,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
58,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
59,Luca,"$21,000,000",-,-,"$21,000,000",100%
60,Tokyo Revengers,"$20,441,985",-,-,"$20,441,985",100%
61,The Courier,"$19,432,702","$6,613,432",34%,"$12,819,270",66%
62,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
63,Mobile Suit Gundam: Hathaway,"$17,676,341",-,-,"$17,676,341",100%
64,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
65,Gintama: The Final,"$17,128,722",-,-,"$17,128,722",100%
66,The Dry,"$17,009,139","$363,570",2.1%,"$16,645,569",97.9%
67,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
68,Minari,"$15,011,912","$3,110,580",20.7%,"$11,901,332",79.3%
69,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
70,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
71,Character,"$12,571,501",-,-,"$12,571,501",100%
72,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
73,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
74,Krack,"$10,442,916",-,-,"$10,442,916",100%
75,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
76,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
77,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
78,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
79,The Soul,"$9,600,000",-,-,"$9,600,000",100%
80,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
81,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
82,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
83,Hard Hit,"$7,901,585",-,-,"$7,901,585",100%
84,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
85,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
86,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
87,Dad,"$7,200,771",-,-,"$7,200,771",100%
88,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
89,Kaamelott: First Installment,"$7,089,876","$188,000",2.7%,"$6,901,876",97.3%
90,The Medium,"$6,973,334",-,-,"$6,973,334",100%
91,Are You Lonesome Tonight?,"$6,900,000",-,-,"$6,900,000",100%
92,Judas and the Black Messiah,"$6,796,645","$5,446,607",80.1%,"$1,350,038",19.9%
93,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
94,Dream Horse,"$6,415,565","$2,860,043",44.6%,"$3,555,522",55.4%
95,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
96,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
97,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
98,Penguin Bloom,"$6,154,872",-,-,"$6,154,872",100%
99,The Mauritanian,"$6,082,580","$836,536",13.8%,"$5,246,044",86.2%
100,Honey Lemon Soda,"$5,809,401",-,-,"$5,809,401",100%
101,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
102,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
103,Extinct,"$5,631,275",-,-,"$5,631,275",100%
104,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
105,Chernobyl: Abyss,"$5,538,706",-,-,"$5,538,706",100%
106,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
107,Jigoku-no-hanazono ~Office Royale~,"$5,450,978",-,-,"$5,450,978",100%
108,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
109,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
110,Poly,"$5,236,154",-,-,"$5,236,154",100%
111,Son of Morning,"$5,075,369",-,-,"$5,075,369",100%
112,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
113,¡A todo tren! Destino Asturias,"$5,024,440",-,-,"$5,024,440",100%
114,Red,"$4,920,261",-,-,"$4,920,261",100%
115,Agent Backkom: Kings Bear,"$4,770,000",-,-,"$4,770,000",100%
116,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
117,Palma,"$4,697,041",-,-,"$4,697,041",100%
118,Zola,"$4,672,782","$4,672,782",100%,-,-
119,Separation,"$4,509,143","$4,509,143",100%,-,-
120,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
121,Wrong Turn,"$4,425,703","$1,251,184",28.3%,"$3,174,519",71.7%
122,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
123,Prababushka lyogkogo povedeniya,"$4,360,396",-,-,"$4,360,396",100%
124,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
125,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
